
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         40 K
Secure System                  140 Services                   0     40,540 K
Registry                       184 Services                   0     20,072 K
smss.exe                       616 Services                   0        308 K
csrss.exe                      724 Services                   0      1,348 K
wininit.exe                   1072 Services                   0        596 K
services.exe                  1216 Services                   0      7,516 K
LsaIso.exe                    1240 Services                   0      1,204 K
lsass.exe                     1248 Services                   0     15,736 K
svchost.exe                   1384 Services                   0     33,072 K
fontdrvhost.exe               1424 Services                   0        180 K
WUDFHost.exe                  1500 Services                   0      6,292 K
svchost.exe                   1560 Services                   0     16,248 K
svchost.exe                   1608 Services                   0      4,532 K
WUDFHost.exe                  1672 Services                   0      3,352 K
WUDFHost.exe                  1828 Services                   0        152 K
svchost.exe                   1836 Services                   0      1,340 K
svchost.exe                   1884 Services                   0      8,476 K
svchost.exe                   1928 Services                   0      3,068 K
svchost.exe                   1944 Services                   0      2,416 K
svchost.exe                   1980 Services                   0      3,144 K
svchost.exe                   2004 Services                   0      8,424 K
svchost.exe                   1576 Services                   0      6,488 K
svchost.exe                   1800 Services                   0      6,716 K
svchost.exe                   1084 Services                   0      5,944 K
svchost.exe                   2128 Services                   0      7,824 K
svchost.exe                   2184 Services                   0      5,180 K
svchost.exe                   2264 Services                   0      2,200 K
IntelCpHDCPSvc.exe            2360 Services                   0         92 K
svchost.exe                   2408 Services                   0      4,912 K
svchost.exe                   2428 Services                   0      7,740 K
svchost.exe                   2468 Services                   0      5,064 K
svchost.exe                   2484 Services                   0      1,120 K
svchost.exe                   2496 Services                   0     16,660 K
svchost.exe                   2792 Services                   0      1,872 K
svchost.exe                   2800 Services                   0      4,268 K
svchost.exe                   2832 Services                   0      2,100 K
svchost.exe                   2844 Services                   0      4,972 K
svchost.exe                   3260 Services                   0      2,360 K
svchost.exe                   3352 Services                   0     10,672 K
svchost.exe                   3380 Services                   0      1,688 K
svchost.exe                   3388 Services                   0      2,844 K
svchost.exe                   3396 Services                   0      7,436 K
Memory Compression            3488 Services                   0   2,00,460 K
svchost.exe                   3536 Services                   0      2,728 K
svchost.exe                   3580 Services                   0      2,072 K
svchost.exe                   3588 Services                   0      2,980 K
svchost.exe                   3704 Services                   0     10,320 K
svchost.exe                   3772 Services                   0      1,504 K
svchost.exe                   3864 Services                   0     22,732 K
svchost.exe                   3892 Services                   0      3,624 K
svchost.exe                   3964 Services                   0     11,360 K
svchost.exe                   4000 Services                   0      3,412 K
spoolsv.exe                   2864 Services                   0      6,040 K
svchost.exe                   3120 Services                   0     11,816 K
svchost.exe                   2904 Services                   0     15,464 K
svchost.exe                   2980 Services                   0      5,528 K
svchost.exe                   4160 Services                   0      2,972 K
svchost.exe                   4300 Services                   0     21,396 K
armsvc.exe                    4308 Services                   0         64 K
svchost.exe                   4316 Services                   0     22,784 K
svchost.exe                   4324 Services                   0      2,444 K
OfficeClickToRun.exe          4332 Services                   0     11,800 K
svchost.exe                   4384 Services                   0      3,096 K
ipfsvc.exe                    4392 Services                   0         60 K
IntelAudioService.exe         4452 Services                   0      4,872 K
svchost.exe                   4552 Services                   0      2,780 K
jhi_service.exe               4560 Services                   0         60 K
MpDefenderCoreService.exe     4576 Services                   0     12,068 K
mysqld.exe                    4592 Services                   0        144 K
ipf_uf.exe                    4600 Services                   0      2,156 K
svchost.exe                   4624 Services                   0      3,824 K
SMSvcHost.exe                 4656 Services                   0      3,116 K
RtkAudUService64.exe          4696 Services                   0      5,088 K
svchost.exe                   4740 Services                   0      6,164 K
svchost.exe                   4792 Services                   0        644 K
svchost.exe                   4800 Services                   0     11,880 K
MsMpEng.exe                   4808 Services                   0   1,55,020 K
WMIRegistrationService.ex     4828 Services                   0        180 K
RtkBtManServ.exe              4836 Services                   0      1,948 K
svchost.exe                   4868 Services                   0     15,768 K
svchost.exe                   5028 Services                   0      4,460 K
NgcIso.exe                    5400 Services                   0      2,688 K
mysqld.exe                    5476 Services                   0      2,676 K
SMSvcHost.exe                 5548 Services                   0      1,768 K
conhost.exe                   5616 Services                   0        624 K
